RptName,TimeStart,Status,UserName
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #11,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #11,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/28/2014,SP-Error,SQLSYSTEM
Report #11,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/28/2014,SP-Error,SQLSYSTEM
Report #13,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #11,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #14,10/28/2014,SP-Error,SQLSYSTEM
Report #13,10/28/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #13,10/27/2014,rsProcessingAborted,David
Report #13,10/27/2014,rsProcessingAborted,David
Report #13,10/27/2014,rsProcessingAborted,Bob
Report #13,10/27/2014,rsProcessingAborted,David
Report #13,10/27/2014,rsProcessingAborted,Bob
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #10,10/27/2014,rsAccessDenied,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #10,10/27/2014,rsAccessDenied,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #13,10/27/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/27/2014,rsProcessingAborted,Bob
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #11,10/27/2014,rsProcessingAborted,SQLSYSTEM
Report #10,10/27/2014,rsAccessDenied,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #13,10/27/2014,rsProcessingAborted,David
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #13,10/27/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #3,10/27/2014,SP-Error,SQLSYSTEM
Report #11,10/27/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/27/2014,SP-Error,SQLSYSTEM
Report #11,10/27/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #11,10/26/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #10,10/26/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #13,10/26/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #3,10/26/2014,SP-Error,SQLSYSTEM
Report #11,10/26/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/26/2014,SP-Error,SQLSYSTEM
Report #11,10/26/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/26/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #11,10/25/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #13,10/25/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #3,10/25/2014,SP-Error,SQLSYSTEM
Report #11,10/25/2014,rsProcessingAborted,SQLSYSTEM
Report #1,10/25/2014,SP-Error,SQLSYSTEM
Report #11,10/25/2014,rsProcessingAborted,SQLSYSTEM
Report #13,10/25/2014,rsProcessingAborted,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
Report #3,10/24/2014,SP-Error,SQLSYSTEM
